iter	Passed	Remaining
0	0	164
1	1	147
2	2	139
3	2	134
4	3	131
5	4	131
6	4	128
7	5	126
8	5	125
9	6	123
10	7	122
11	7	124
12	8	123
13	9	122
14	9	121
15	10	120
16	11	120
17	11	119
18	12	118
19	12	116
20	13	116
21	14	115
22	14	114
23	15	113
24	16	112
25	16	111
26	17	111
27	17	110
28	18	109
29	19	109
30	19	108
31	20	107
32	21	107
33	21	106
34	22	106
35	23	105
36	23	104
37	24	104
38	25	103
39	25	102
40	26	102
41	26	101
42	27	100
43	28	100
44	28	99
45	29	98
46	30	98
47	30	97
48	31	96
49	32	96
50	32	95
51	33	94
52	33	94
53	34	93
54	35	92
55	35	92
56	36	91
57	37	90
58	37	90
59	38	89
60	39	89
61	39	88
62	40	87
63	41	87
64	41	86
65	42	86
66	43	85
67	43	84
68	44	84
69	44	83
70	45	82
71	46	82
72	46	81
73	47	81
74	48	80
75	48	79
76	49	78
77	50	78
78	50	77
79	51	77
80	52	76
81	52	75
82	52	74
83	53	74
84	54	73
85	54	72
86	55	72
87	56	71
88	56	71
89	57	70
90	58	69
91	58	69
92	59	68
93	60	68
94	61	67
95	61	66
96	62	66
97	63	65
98	63	64
99	64	64
100	64	63
101	65	63
102	66	62
103	67	61
104	67	61
105	68	60
106	69	60
107	69	59
108	70	58
109	71	58
110	71	57
111	72	56
112	73	56
113	73	55
114	74	55
115	75	54
116	75	53
117	76	53
118	76	52
119	77	51
120	78	51
121	78	50
122	79	49
123	80	49
124	80	48
125	81	47
126	82	47
127	82	46
128	83	45
129	84	45
130	84	44
131	85	44
132	86	43
133	86	42
134	87	42
135	88	41
136	88	40
137	89	40
138	90	39
139	90	38
140	91	38
141	91	37
142	92	36
143	93	36
144	93	35
145	94	34
146	95	34
147	95	33
148	96	32
149	96	32
150	97	31
151	98	31
152	98	30
153	99	29
154	100	29
155	100	28
156	101	27
157	102	27
158	102	26
159	103	25
160	104	25
161	104	24
162	105	23
163	106	23
164	106	22
165	107	22
166	108	21
167	108	20
168	109	20
169	110	19
170	110	18
171	111	18
172	112	17
173	112	16
174	113	16
175	113	15
176	114	14
177	115	14
178	116	13
179	117	13
180	117	12
181	118	11
182	119	11
183	119	10
184	120	9
185	120	9
186	121	8
187	122	7
188	122	7
189	123	6
190	124	5
191	124	5
192	125	4
193	125	3
194	126	3
195	127	2
196	127	1
197	128	1
198	129	0
199	129	0
