iter	Passed	Remaining
0	64	64896
1	65	32867
2	66	22112
3	67	16737
4	68	13642
5	69	11488
6	70	9963
7	71	8805
8	71	7893
9	72	7162
10	73	6575
11	73	6091
12	75	5707
13	75	5343
14	76	5027
15	77	4775
16	78	4537
17	79	4341
18	80	4143
19	80	3963
20	81	3800
21	82	3652
22	82	3522
23	83	3404
24	86	3362
25	86	3256
26	87	3157
27	88	3064
28	88	2977
29	89	2895
30	90	2819
31	91	2754
32	91	2692
33	92	2628
34	93	2569
35	93	2512
36	94	2459
37	95	2410
38	95	2362
39	96	2320
40	97	2281
41	98	2242
42	98	2202
43	99	2163
44	100	2126
45	100	2090
46	101	2056
47	102	2026
48	103	2011
49	104	1982
50	104	1952
51	105	1924
52	106	1897
53	106	1872
54	107	1847
55	108	1832
56	109	1810
57	110	1787
58	110	1765
59	111	1743
60	111	1723
61	112	1703
62	113	1684
63	114	1669
64	115	1655
65	115	1638
66	116	1623
67	117	1608
68	118	1593
69	118	1577
70	119	1561
71	120	1550
72	121	1540
73	122	1527
74	122	1512
75	123	1498
76	123	1485
77	124	1471
78	125	1458
79	125	1445
80	126	1437
81	127	1429
82	128	1414
83	128	1403
84	129	1392
85	130	1381
86	130	1371
87	131	1360
88	131	1350
89	132	1344
90	133	1336
91	134	1326
92	135	1317
93	135	1307
94	136	1298
95	136	1289
96	137	1281
97	139	1280
98	140	1274
99	140	1266
100	141	1258
101	142	1252
102	143	1247
103	143	1239
104	144	1232
105	145	1227
106	146	1220
107	146	1213
108	147	1206
109	148	1199
110	148	1193
111	149	1186
112	150	1179
113	151	1175
114	152	1170
115	152	1163
116	153	1156
117	153	1150
118	154	1143
119	155	1137
120	155	1131
121	156	1125
122	157	1120
123	158	1116
124	158	1111
125	159	1105
126	159	1099
127	160	1094
128	161	1090
129	162	1085
130	162	1080
131	163	1076
132	164	1072
133	165	1067
134	165	1062
135	166	1057
136	167	1052
137	167	1047
138	168	1043
139	169	1038
140	170	1036
141	170	1031
142	171	1028
143	172	1024
144	173	1020
145	173	1017
146	174	1012
147	175	1008
148	175	1004
149	176	1001
150	177	997
151	178	993
152	178	989
153	179	985
154	179	980
155	180	976
156	181	972
157	181	969
158	182	967
159	183	964
160	184	959
161	184	955
162	185	951
163	185	947
164	186	944
165	187	940
166	187	937
167	188	935
168	189	932
169	190	928
170	190	925
171	191	922
172	192	918
173	192	915
174	193	912
175	194	909
176	195	907
177	195	904
178	196	901
179	197	897
180	197	894
181	198	891
182	198	888
183	199	885
184	200	882
185	201	880
186	202	878
187	202	875
188	203	872
189	203	869
190	204	866
191	205	863
192	205	860
193	206	858
194	207	855
195	208	853
196	208	850
197	209	847
198	209	844
199	210	842
200	211	839
201	211	836
202	212	834
203	213	832
204	214	830
205	214	827
206	215	825
207	215	822
208	216	819
209	217	817
210	217	815
211	218	813
212	219	812
213	220	810
214	221	808
215	222	805
216	222	803
217	223	801
218	223	798
219	224	796
220	225	794
221	226	793
222	226	790
223	227	788
224	228	786
225	228	783
226	229	781
227	230	779
228	231	778
229	232	776
230	232	774
231	233	772
232	234	770
233	234	768
234	235	766
235	236	764
236	236	762
237	237	761
238	238	759
239	239	757
240	239	755
241	240	753
242	241	751
243	241	749
244	242	747
245	244	748
246	244	746
247	245	745
248	246	743
249	247	742
250	247	740
251	248	738
252	249	737
253	250	735
254	251	733
255	252	733
256	253	731
257	253	729
258	254	728
259	255	727
260	256	726
261	257	724
262	257	722
263	258	720
264	259	718
265	260	717
266	261	718
267	262	717
268	263	715
269	264	714
270	264	712
271	265	710
272	266	708
273	266	707
274	267	706
275	268	704
276	269	702
277	269	700
278	270	699
279	271	697
280	272	696
281	272	694
282	273	694
283	274	692
284	275	690
285	275	688
286	276	687
287	277	685
288	277	683
289	279	683
290	280	682
291	281	681
292	281	679
293	282	678
294	283	676
295	283	675
296	284	673
297	286	673
298	286	672
299	287	671
300	288	669
301	289	668
302	289	666
303	290	664
304	291	663
305	292	663
306	293	661
307	293	660
308	294	658
309	295	656
310	296	655
311	296	654
312	298	654
313	299	653
314	299	652
315	300	650
316	301	649
317	301	647
318	302	646
319	303	645
320	304	644
321	305	642
322	305	641
323	306	639
324	307	638
325	307	636
326	308	634
327	309	633
328	310	633
329	311	632
330	312	630
331	312	629
332	313	628
333	314	626
334	315	625
335	315	624
336	316	623
337	317	622
338	318	620
339	319	619
340	319	617
341	320	616
342	320	614
343	322	614
344	323	613
345	323	611
346	324	610
347	325	609
348	325	607
349	326	605
350	326	604
351	327	603
352	328	602
353	329	601
354	330	599
355	330	598
356	331	597
357	332	595
358	332	594
359	333	592
360	334	592
361	335	591
362	336	589
363	336	588
364	337	587
365	338	585
366	339	584
367	340	584
368	341	583
369	342	582
370	342	580
371	343	579
372	344	578
373	344	577
374	345	575
375	346	574
376	347	574
377	348	572
378	348	571
379	349	570
380	350	568
381	350	567
382	351	566
383	352	564
384	352	563
385	353	562
386	354	561
387	354	559
388	355	558
389	356	557
390	356	555
391	357	554
392	358	553
393	358	552
394	359	551
395	360	549
396	361	548
397	361	547
398	362	546
399	363	544
400	363	543
401	364	542
402	365	541
403	366	540
404	366	539
405	367	537
406	368	536
407	368	535
408	369	533
409	370	532
410	370	531
411	371	530
412	372	529
413	373	528
414	373	527
415	374	525
416	375	524
417	375	523
418	376	522
419	377	521
420	378	520
421	378	518
422	379	517
423	380	516
424	380	515
425	381	513
426	382	512
427	382	511
428	383	510
429	384	509
430	385	508
431	385	507
432	386	506
433	387	504
434	387	503
435	388	502
436	388	501
437	389	500
438	390	499
439	391	497
440	391	496
441	392	495
442	393	494
443	393	492
444	394	491
445	394	490
446	395	489
447	396	488
448	397	487
449	397	486
450	398	485
451	399	483
452	399	482
453	400	481
454	401	480
455	401	479
456	402	478
457	403	477
458	404	476
459	404	475
460	405	473
461	405	472
462	406	471
463	407	470
464	408	469
465	408	468
466	409	467
467	410	466
468	410	465
469	411	464
470	412	462
471	412	461
472	413	460
473	414	459
474	415	458
475	415	457
476	416	456
477	416	455
478	417	454
479	418	453
480	418	451
481	419	450
482	420	450
483	421	449
484	422	448
485	422	447
486	423	446
487	424	444
488	424	443
489	425	442
490	425	441
491	427	440
492	427	439
493	428	438
494	429	437
495	429	436
496	430	435
497	431	434
498	431	433
499	432	432
500	433	432
501	434	431
502	435	430
503	436	429
504	436	428
505	437	427
506	438	426
507	439	426
508	440	425
509	441	424
510	442	423
511	442	422
512	443	421
513	444	419
514	445	419
515	446	418
516	446	417
517	447	416
518	448	415
519	448	414
520	449	413
521	449	412
522	450	410
523	451	409
524	452	409
525	452	408
526	453	407
527	454	405
528	454	404
529	455	403
530	456	402
531	456	401
532	457	400
533	458	400
534	459	399
535	459	398
536	460	397
537	461	396
538	462	395
539	462	394
540	463	393
541	464	392
542	465	391
543	466	390
544	466	389
545	467	388
546	467	387
547	468	386
548	469	385
549	470	384
550	471	383
551	471	382
552	472	381
553	472	380
554	473	379
555	474	378
556	474	377
557	475	376
558	476	376
559	477	375
560	478	374
561	478	373
562	479	372
563	480	371
564	480	370
565	481	369
566	482	368
567	483	367
568	484	366
569	484	365
570	485	364
571	486	363
572	486	362
573	487	361
574	487	360
575	488	359
576	489	358
577	490	357
578	490	356
579	491	356
580	492	355
581	492	354
582	493	353
583	494	352
584	495	351
585	496	350
586	496	349
587	497	348
588	498	347
589	498	346
590	499	345
591	500	344
592	501	344
593	502	343
594	503	342
595	503	341
596	504	340
597	504	339
598	505	338
599	506	337
600	507	336
601	508	335
602	508	334
603	509	334
604	510	333
605	510	332
606	511	331
607	511	330
608	512	329
609	513	328
610	514	327
611	514	326
612	515	325
613	516	324
614	516	323
615	517	322
616	518	321
617	518	320
618	519	320
619	520	319
620	521	318
621	521	317
622	522	316
623	523	315
624	523	314
625	524	313
626	525	312
627	526	311
628	527	310
629	527	310
630	528	309
631	529	308
632	529	307
633	530	306
634	531	305
635	532	304
636	533	303
637	533	302
638	534	301
639	535	300
640	535	300
641	536	299
642	537	298
643	538	297
644	538	296
645	539	295
646	540	294
647	540	293
648	541	292
649	541	291
650	542	290
651	543	289
652	544	289
653	544	288
654	545	287
655	546	286
656	546	285
657	547	284
658	548	283
659	548	282
660	549	281
661	550	280
662	551	280
663	551	279
664	552	278
665	552	277
666	553	276
667	554	275
668	554	274
669	555	273
670	556	272
671	557	272
672	558	271
673	558	270
674	559	269
675	559	268
676	560	267
677	561	266
678	561	265
679	562	264
680	563	264
681	564	263
682	565	262
683	565	261
684	566	260
685	566	259
686	567	258
687	568	257
688	569	256
689	569	255
690	570	255
691	571	254
692	572	253
693	572	252
694	573	251
695	574	250
696	575	249
697	575	249
698	576	248
699	577	247
700	577	246
701	578	245
702	578	244
703	579	243
704	580	242
705	581	242
706	581	241
707	582	240
708	583	239
709	583	238
710	584	237
711	585	236
712	585	235
713	586	234
714	587	234
715	588	233
716	588	232
717	589	231
718	590	230
719	590	229
720	591	228
721	592	228
